Gene	baseMean	log2FoldChange	padj	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	B_1_1	B_1_2	B_1_3	B_2_1	B_2_2	B_2_3	B_3_1	B_3_2	B_3_3	B_4_1	B_4_2	B_4_3	gene	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene_341930	81.6156417505147	-10.2576957711523	7.9705946547273e-12	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Brachypodium	s__Brachypodium	Brachypodium distachyon (taxid 15368)	0	0	0	0.172368844023418	0.186791344647874	0.0870086692313388	0	0	0	1.06139247462342	1.14650772534501	1.04175441988142	gene_341930	5786.XP_003293941.1	2.68e-204	574.0	COG0192@1|root,KOG1506@2759|Eukaryota,3X8EF@554915|Amoebozoa	554915|Amoebozoa	H	Catalyzes the formation of S-adenosylmethionine from methionine and ATP	-	GO:0000096,GO:0003674,GO:0003824,GO:0004478,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009066,GO:0009987,GO:0016740,GO:0016765,GO:0019752,GO:0032991,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0048269,GO:0071704,GO:1901564,GO:1901605,GO:1902494,GO:1990234	2.5.1.6	ko:K00789	ko00270,ko01100,ko01110,ko01230,map00270,map01100,map01110,map01230	M00034,M00035,M00368,M00609	R00177,R04771	RC00021,RC01211	ko00000,ko00001,ko00002,ko01000	-	-	-	-
gene_342564	67.3750665253939	-9.02435364698161	2.02184278804089e-19	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Cucurbitales	f__Cucurbitaceae	g__Benincasa	s__Benincasa	Benincasa hispida (taxid 102211)	0	0.0410752230239735	0	3.53014128573358	2.58537645989239	2.71908433087674	0	0	0	2.1440351055332	1.26668896186077	0.913768659708765	gene_342564	3067.XP_002958728.1	7.53e-70	214.0	COG0089@1|root,KOG1751@2759|Eukaryota,37TPV@33090|Viridiplantae,34KE7@3041|Chlorophyta	3041|Chlorophyta	J	Belongs to the universal ribosomal protein uL23 family	RPL23a	-	-	ko:K02893	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_34264	28.78772703663	-8.75180215216525	1.17021038982927e-05	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Triticum	NA	Triticum (taxid 4564)	0	0	0	0.0196639169762348	0	0.00850799056276884	0	0	0	0.437084218103264	0.737203269374139	0.402240632327334	gene_34264	3847.GLYMA09G04480.1	5.93e-116	345.0	COG1622@1|root,KOG4767@2759|Eukaryota,37T4F@33090|Viridiplantae,3GGAX@35493|Streptophyta,4JT1W@91835|fabids	35493|Streptophyta	C	Cytochrome C oxidase, subunit	cox2	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0005751,GO:0006091,GO:0006119,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0015980,GO:0016020,GO:0016310,GO:0017144,GO:0019637,GO:0019693,GO:0019866,GO:0022900,GO:0022904,GO:0031090,GO:0031966,GO:0031967,GO:0031975,GO:0032991,GO:0034641,GO:0042773,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045277,GO:0045333,GO:0046034,GO:0046483,GO:0055086,GO:0055114,GO:0070069,GO:0070469,GO:0071704,GO:0072521,GO:0098796,GO:0098798,GO:0098800,GO:0098803,GO:1901135,GO:1901360,GO:1901564	-	ko:K02261	ko00190,ko01100,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04260,map04714,map04932,map05010,map05012,map05016	M00154	-	-	ko00000,ko00001,ko00002,ko03029	3.D.4.11,3.D.4.7,3.D.4.8	-	-	-
gene_34270	20.4470954446631	-8.24643897629119	8.82928165895881e-10	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Dioscoreales	f__Dioscoreaceae	g__Dioscorea	s__Dioscorea	Dioscorea cayenensis subsp. rotundata (taxid 55577)	0	0	0	0.117497306107996	0.169771437328768	0.0677834412967847	0	0	0	0.367049488175521	0.312612339946407	0.106822145947735	gene_34270	2850.Phatr54265	1.5e-164	469.0	KOG0032@1|root,KOG0032@2759|Eukaryota,2XB8X@2836|Bacillariophyta	2759|Eukaryota	T	Belongs to the protein kinase superfamily	-	-	2.7.11.17	ko:K08794	ko04921,ko04925,map04921,map04925	-	-	-	ko00000,ko00001,ko01000,ko01001	-	-	-	-
gene_342862	14.0630341443505	-7.69588465595143	5.55364084148333e-09	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Pinopsida	o__Cupressales	f__Cupressaceae	g__Cryptomeria	s__Cryptomeria	Cryptomeria japonica (taxid 3369)	0	0	0	0.233950191717255	0.174298675657536	0.0885703632944654	0	0	0	0.210818167567479	0.389028689711084	0.38067528374102	gene_342862	29176.XP_003881046.1	1.95e-94	296.0	COG0326@1|root,KOG0019@2759|Eukaryota,3Y9JI@5794|Apicomplexa,3YIGE@5796|Coccidia,3YST5@5809|Sarcocystidae	5794|Apicomplexa	O	Hsp90 protein	HSP90	-	-	ko:K04079	ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418	-	-	-	ko00000,ko00001,ko01009,ko03029,ko03051,ko03110,ko04131,ko04147	-	-	-	-
gene_343015	24.7801997711651	-8.52215381565333	2.45238628530323e-12	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Fabales	f__Fabaceae	g__Pisum	s__Pisum	Pisum sativum (taxid 3888)	0	0	0	0.259994039047481	0.244181897094144	0.172487225087137	0	0	0	0.3019697916905	0.419235117400726	0.236372408054563	gene_343015	760192.Halhy_2911	1.01e-97	298.0	COG0789@1|root,COG5012@1|root,COG0789@2|Bacteria,COG5012@2|Bacteria,4NERC@976|Bacteroidetes,1IS5U@117747|Sphingobacteriia	976|Bacteroidetes	K	MerR family	-	-	-	ko:K22491	-	-	-	-	ko00000,ko03000	-	-	-	-
gene_343034	700.683610835331	-13.3628640106086	6.73314200866479e-28	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Rosales	f__Cannabaceae	g__Humulus	s__Humulus	Humulus lupulus (taxid 3486)	0	0	0	2.71589618889866	3.05774983131877	1.83401476092683	0	0	0	4.52875896686593	3.85237575220711	6.37740026004456	gene_343034	109760.SPPG_06618T0	0.0	972.0	COG0443@1|root,KOG0101@2759|Eukaryota,38BSZ@33154|Opisthokonta,3NVJE@4751|Fungi	4751|Fungi	O	Belongs to the heat shock protein 70 family	SSA2	GO:0000049,GO:0000060,GO:0000166,GO:0000209,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0002181,GO:0002376,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0005737,GO:0005739,GO:0005773,GO:0005774,GO:0005829,GO:0005844,GO:0005886,GO:0006403,GO:0006404,GO:0006412,GO:0006457,GO:0006464,GO:0006508,GO:0006511,GO:0006515,GO:0006518,GO:0006605,GO:0006606,GO:0006612,GO:0006613,GO:0006614,GO:0006616,GO:0006626,GO:0006807,GO:0006810,GO:0006839,GO:0006886,GO:0006913,GO:0006950,GO:0006955,GO:0006959,GO:0006970,GO:0006996,GO:0007005,GO:0008104,GO:0008144,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009266,GO:0009277,GO:0009408,GO:0009605,GO:0009607,GO:0009628,GO:0009636,GO:0009986,GO:0009987,GO:0010033,GO:0010467,GO:0010498,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016043,GO:0016192,GO:0016462,GO:0016567,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017038,GO:0017076,GO:0017111,GO:0019538,GO:0019730,GO:0019941,GO:0022411,GO:0030163,GO:0030260,GO:0030312,GO:0030445,GO:0030446,GO:0030554,GO:0031012,GO:0031090,GO:0031347,GO:0031349,GO:0032446,GO:0032553,GO:0032555,GO:0032559,GO:0032984,GO:0032988,GO:0032991,GO:0033036,GO:0033218,GO:0033365,GO:0033554,GO:0033993,GO:0034504,GO:0034605,GO:0034613,GO:0034641,GO:0034645,GO:0035617,GO:0035639,GO:0035719,GO:0035821,GO:0036094,GO:0036211,GO:0042026,GO:0042221,GO:0042277,GO:0042886,GO:0043043,GO:0043161,GO:0043167,GO:0043168,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043603,GO:0043604,GO:0043624,GO:0043632,GO:0043933,GO:0044003,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044271,GO:0044403,GO:0044409,GO:0044416,GO:0044419,GO:0044421,GO:0044422,GO:0044424,GO:0044428,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045047,GO:0045184,GO:0046677,GO:0046907,GO:0048518,GO:0048519,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0050657,GO:0050658,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051031,GO:0051082,GO:0051093,GO:0051169,GO:0051170,GO:0051179,GO:0051234,GO:0051236,GO:0051261,GO:0051603,GO:0051641,GO:0051649,GO:0051701,GO:0051704,GO:0051707,GO:0051716,GO:0051806,GO:0051817,GO:0051828,GO:0052031,GO:0052173,GO:0052200,GO:0052251,GO:0052255,GO:0052509,GO:0052510,GO:0055085,GO:0061077,GO:0062039,GO:0062040,GO:0065002,GO:0065007,GO:0070585,GO:0070647,GO:0070727,GO:0070887,GO:0070972,GO:0071014,GO:0071214,GO:0071236,GO:0071310,GO:0071396,GO:0071470,GO:0071702,GO:0071704,GO:0071705,GO:0071806,GO:0071826,GO:0071840,GO:0071944,GO:0072318,GO:0072319,GO:0072594,GO:0072599,GO:0072655,GO:0072657,GO:0075136,GO:0080134,GO:0080135,GO:0090150,GO:0090342,GO:0090344,GO:0097159,GO:0097305,GO:0097306,GO:0097307,GO:0097308,GO:0097367,GO:0098588,GO:0098805,GO:0098852,GO:0104004,GO:1900034,GO:1900035,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901700,GO:1901701,GO:1903008,GO:1990904	-	ko:K03283	ko03040,ko04010,ko04141,ko04144,ko04213,ko04612,ko04915,ko05134,ko05145,ko05162,ko05164,ko05169,map03040,map04010,map04141,map04144,map04213,map04612,map04915,map05134,map05145,map05162,map05164,map05169	M00353,M00355	-	-	ko00000,ko00001,ko00002,ko01009,ko03009,ko03029,ko03041,ko03051,ko03110,ko04131,ko04147,ko04516	1.A.33.1	-	-	-
gene_343158	98.0344392825958	-10.5218868724613	2.78377235747356e-14	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Pinopsida	o__Cupressales	f__Cupressaceae	g__Cryptomeria	s__Cryptomeria	Cryptomeria japonica (taxid 3369)	0	0	0	0.278323336811132	0.321718715076816	0.23549232013217	0	0	0	0.743122608019855	1.30897298722054	1.07348778495298	gene_343158	443255.SCLAV_1188	7.77e-229	643.0	COG0539@1|root,COG0539@2|Bacteria,2GJAK@201174|Actinobacteria	201174|Actinobacteria	J	Ribosomal protein S1	rpsA	GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944	-	ko:K02945	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_343260	29.5386273144666	-8.79433687916974	1.01348172005465e-17	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Brassicales	f__Brassicaceae	g__Brassica	NA	Brassica (taxid 3705)	0	0	0	0.365844972663757	0.421627883256009	0.47235809112236	0	0	0	0.300018726248016	0.140456571919388	0.100789789992531	gene_343260	3067.XP_002952530.1	5.01e-221	625.0	COG0004@1|root,KOG0682@2759|Eukaryota,37HQP@33090|Viridiplantae,34J8I@3041|Chlorophyta	3041|Chlorophyta	P	Ammonium transporter	-	-	-	ko:K03320	-	-	-	-	ko00000,ko02000	1.A.11	-	-	-
gene_34352	53.2942887148166	-7.63470934026155	5.62668468215317e-19	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Zea	s__Zea	Zea mays (taxid 4577)	0	0.0794481287437383	0.018773171319966	3.43277655897625	2.11410116168351	2.72703486985591	0	0	0	1.26213508214741	0.725938703288626	0.744177246411016	gene_34352	3067.XP_002957120.1	4.45e-92	270.0	COG0100@1|root,KOG0407@2759|Eukaryota,37SRM@33090|Viridiplantae,34K76@3041|Chlorophyta	3041|Chlorophyta	J	Belongs to the universal ribosomal protein uS11 family	RPS14	-	-	ko:K02955	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_34360	55.6835348328127	-9.70179404711754	5.60213560021525e-14	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Triticum	NA	Triticum (taxid 4564)	0	0	0	0.319469799613898	0.372165621438359	0.276450113524142	0	0	0	0.46061112241634	0.878955194668092	0.821825992710205	gene_34360	557598.LHK_02354	5.26e-79	252.0	COG1868@1|root,COG1868@2|Bacteria,1MX01@1224|Proteobacteria,2VI0A@28216|Betaproteobacteria,2KQNH@206351|Neisseriales	206351|Neisseriales	N	flagellar motor switch protein	fliM	-	-	ko:K02416	ko02030,ko02040,map02030,map02040	-	-	-	ko00000,ko00001,ko02035	-	-	-	-
gene_343851	11.1400803804571	-6.37149204894157	1.510380973696e-06	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Solanales	f__Convolvulaceae	g__Ipomoea	s__Ipomoea	Ipomoea triloba (taxid 35885)	0	0	0	0.12396817224148	0.172723984064921	0.0919497116721602	0.0424742659920441	0	0	0.468121086368781	0.192757015935334	0.395199717814546	gene_343851	3075.A0A087SA88	1.42e-94	287.0	COG5023@1|root,KOG1375@2759|Eukaryota,37IAA@33090|Viridiplantae,34K3H@3041|Chlorophyta	3041|Chlorophyta	Z	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain	TUB1	GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044464	-	ko:K07375	ko04145,ko04540,ko05130,map04145,map04540,map05130	-	-	-	ko00000,ko00001,ko03036,ko04147,ko04812	-	-	-	-
gene_343861	11.4476079578717	-7.41890225470434	0.00286759308035246	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Lolium	NA	Lolium (taxid 4520)	0	0	0	0	0	0	0	0	0	0.576018665809373	0.610302449667429	0.500508590506524	gene_343861	55529.EKX51810	5.37e-60	189.0	COG0049@1|root,KOG3291@2759|Eukaryota	2759|Eukaryota	J	rRNA binding	RPS5	GO:0000028,GO:0000184,GO:0000956,GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005773,GO:0005774,GO:0005829,GO:0005840,GO:0005844,GO:0005886,GO:0005911,GO:0006139,GO:0006401,GO:0006402,GO:0006403,GO:0006405,GO:0006407,GO:0006412,GO:0006413,GO:0006450,GO:0006518,GO:0006605,GO:0006611,GO:0006612,GO:0006613,GO:0006614,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006996,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009506,GO:0009507,GO:0009536,GO:0009719,GO:0009725,GO:0009735,GO:0009892,GO:0009987,GO:0010033,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0015031,GO:0015833,GO:0015931,GO:0015935,GO:0016020,GO:0016043,GO:0016070,GO:0016071,GO:0019222,GO:0019439,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0030054,GO:0030312,GO:0030684,GO:0030686,GO:0031090,GO:0031503,GO:0031974,GO:0031981,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0034622,GO:0034641,GO:0034645,GO:0034655,GO:0042221,GO:0042254,GO:0042255,GO:0042274,GO:0042788,GO:0042886,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044428,GO:0044437,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0045047,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0048519,GO:0050657,GO:0050658,GO:0050789,GO:0050896,GO:0051029,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051641,GO:0051649,GO:0055044,GO:0060255,GO:0065003,GO:0065007,GO:0065008,GO:0070013,GO:0070727,GO:0070925,GO:0070972,GO:0071166,GO:0071426,GO:0071428,GO:0071702,GO:0071704,GO:0071705,GO:0071826,GO:0071840,GO:0071944,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:0090304,GO:0097064,GO:0097159,GO:0098588,GO:0098805,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1990904	1.18.1.6	ko:K02989,ko:K18914	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko01000,ko03011,ko03029	-	-	-	-
gene_34408	11.1518283348016	-7.3790324240747	0.000431748638784884	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Panicum	s__Panicum	Panicum hallii (taxid 206008)	0	0	0	0	0	0.054028845179627	0	0	0	0.575133504586462	0.302032891149283	0.541837082697072	gene_34408	109760.SPPG_05556T0	1.41e-57	182.0	COG1717@1|root,KOG0878@2759|Eukaryota,3A0DJ@33154|Opisthokonta,3P2W4@4751|Fungi	4751|Fungi	J	60s ribosomal protein l32	RPL32	GO:0002181,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02912	ko03010,map03010	M00177,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_344422	17.6706439796721	-7.05287512515359	1.21607063605237e-06	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Ericales	f__Ericaceae	g__Rhododendron	s__Rhododendron	Rhododendron vialii (taxid 182163)	0.0277404998277768	0	0	0.193775492532799	0.179990688896131	0.0479090730719022	0	0.0351995761022775	0	0.731723251508482	0.368255313076026	1.78458038702448	gene_344422	3075.A0A087SIG1	5.43e-63	202.0	COG5023@1|root,KOG1376@2759|Eukaryota,37JG4@33090|Viridiplantae,34GYC@3041|Chlorophyta	3041|Chlorophyta	Z	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the	TUA1	GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044464	-	ko:K07374	ko04145,ko04210,ko04530,ko04540,ko05130,map04145,map04210,map04530,map04540,map05130	-	-	-	ko00000,ko00001,ko03019,ko03036,ko04147,ko04812	-	-	-	-
gene_344598	19.6962201805839	-8.20135418381578	1.50231339845496e-05	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Triticum	s__Triticum	Triticum aestivum (taxid 4565)	0	0	0	0.0406356479081337	0	0.0058606110764916	0	0	0	0.146471054663866	0.253906114154989	0.361040861233848	gene_344598	7029.ACYPI31220-PA	4e-51	193.0	COG0507@1|root,KOG0987@2759|Eukaryota,38G2J@33154|Opisthokonta,3BIV7@33208|Metazoa,3D0M2@33213|Bilateria,420YJ@6656|Arthropoda,3SKNH@50557|Insecta,3EDP7@33342|Paraneoptera	33208|Metazoa	L	PIF1-like helicase	-	-	3.6.4.12	ko:K15255	-	-	-	-	ko00000,ko01000,ko03029,ko03032	-	-	-	-
gene_344797	10.0256000371068	-7.25087001970765	2.13067066211784e-09	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Zea	s__Zea	Zea mays (taxid 4577)	0	0	0	0.331857791249758	0.190821482527252	0.134794054759307	0	0	0	0.0162745616293184	0.0491431188687075	0.0671703927876927	gene_344797	867845.KI911784_gene3476	1.29e-42	161.0	COG0568@1|root,COG0568@2|Bacteria,2G5W3@200795|Chloroflexi,3764J@32061|Chloroflexia	32061|Chloroflexia	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is the primary sigma factor during exponential growth	-	-	-	ko:K03086	-	-	-	-	ko00000,ko03021	-	-	-	-
gene_345063	37.421684153891	-9.12802438147955	1.74913309144466e-09	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Rosales	f__Cannabaceae	g__Cannabis	s__Cannabis	Cannabis sativa (taxid 3483)	0	0	0	0.0806962630628503	0.10202302413059	0.232765779547449	0	0	0	0.614057634306218	1.02470357056189	1.11714343712408	gene_345063	248742.XP_005648374.1	2.63e-107	313.0	COG0049@1|root,KOG3291@2759|Eukaryota,37Q1Y@33090|Viridiplantae,34GXI@3041|Chlorophyta	3041|Chlorophyta	J	Belongs to the universal ribosomal protein uS7 family	RPS5	-	-	ko:K02989	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_34520	289.42305473454	-12.0863810434413	1.69540365796322e-20	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Santalales	f__Ximeniaceae	g__Malania	s__Malania	Malania oleifera (taxid 397392)	0	0	0	1.14995890162124	1.09254016685386	0.667947767386438	0	0	0	1.9873397702321	2.83858075830124	2.81875976345462	gene_34520	886293.Sinac_5363	2.08e-71	244.0	COG4942@1|root,COG4942@2|Bacteria	2|Bacteria	D	peptidase	rny	-	-	ko:K12088,ko:K18682	ko03018,ko05120,map03018,map05120	M00564	-	-	ko00000,ko00001,ko00002,ko01000,ko02044,ko03019	3.A.7.12.1	-	-	-
gene_34552	252.149947328723	-8.09786744702826	5.57881804113584e-10	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Asterales	f__Asteraceae	g__Lactuca	s__Lactuca	Lactuca sativa (taxid 4236)	0.029155831451643	0	0	0.596438706243448	0.614815133754897	0.415415661661724	0.0523343634544829	0.0184977364210948	0.105450311470418	8.52953096331687	8.76126531953697	2.99379468773003	gene_34552	35128.Thapsdraft1013	1.12e-98	291.0	COG0450@1|root,KOG0852@2759|Eukaryota,2XFG5@2836|Bacillariophyta	2836|Bacillariophyta	O	Redoxin	ycf42	-	1.11.1.15	ko:K03386	ko04214,map04214	-	-	-	ko00000,ko00001,ko01000,ko04147	-	-	-	-
gene_345976	12.8726563202931	-7.5708833880426	6.11458934311122e-09	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Miscanthus	s__Miscanthus	Miscanthus floridulus (taxid 154761)	0	0	0	0.297659842140257	0.390474305856168	0.0542267530374278	0	0	0	0.188230506756678	0.359977845998893	0.291333125312005	gene_345976	1142394.PSMK_08480	5.54e-51	169.0	COG0244@1|root,COG0244@2|Bacteria,2J0R0@203682|Planctomycetes	203682|Planctomycetes	J	ribosomal protein l10	rplJ	-	-	ko:K02864	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_346218	60.7819047766104	-9.83008739423842	6.2189883274115e-13	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Fagales	f__Betulaceae	g__Alnus	s__Alnus	Alnus glutinosa (taxid 3517)	0	0	0	0.276944349466618	0.190983497710244	0.130718795401482	0	0	0	0.453747711651858	0.677462664051361	0.866153318256531	gene_346218	383372.Rcas_1879	1.36e-209	592.0	COG1653@1|root,COG1653@2|Bacteria,2G6T7@200795|Chloroflexi,3778T@32061|Chloroflexia	32061|Chloroflexia	G	PFAM extracellular solute-binding protein family 1	-	-	-	ko:K02027,ko:K10188	ko02010,map02010	M00199,M00207	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1,3.A.1.1.4	-	-	-
